fold,horizon,status,train_n,test_n,raw_auc,raw_msr,raw_x0,raw_x1,filtered_auc,filtered_msr,filtered_x0,filtered_x1,residual_auc,residual_msr,residual_x0,residual_x1,error
Auction_ZScore_CF_1,k=50,ok,30068,30572,0.5248644804092912,0.24932341275718084,0.017614808608125327,-0.07691538657529952,0.5207459512547965,0.2495565255357471,0.0167044541775682,-0.04711125177700312,0.4867000358514204,0.24978592684099973,0.016256480409071405,-0.16443583149377247,
Auction_ZScore_CF_1,k=100,ok,36147,36397,0.4818923841149841,0.250024984508184,0.03044998110494362,0.03686806834190397,0.4802807790205834,0.24997947455683486,0.030691475352708594,0.031089091252863042,0.5213688789214888,0.2497365680992757,0.03139747954884748,0.03856918581282313,
Auction_ZScore_CF_2,k=10,ok,31039,10735,0.5993807883043739,0.24304410294340803,0.029827483995694244,-0.47693543336931,0.5009091207658437,0.25011509376035923,0.022128168656526424,0.0069526090227622125,0.7136018929736784,0.22065767951216747,0.03145832655254094,-2.601815042449024,
Auction_ZScore_CF_2,k=20,ok,42029,14780,0.5039051459079235,0.25023591471922196,0.02517063742088949,0.057257022514705366,0.5709156216755292,0.24690320741981384,0.021986485527709456,0.3661693120945494,0.6396349445759404,0.23538772529832,0.03331404925643224,-1.69443581702523,
Auction_ZScore_CF_2,k=30,ok,50367,17796,0.5293717049950247,0.24969682657118566,0.0359637663842423,-0.09455517505432455,0.5128496379554244,0.2502508801864796,0.0332355075513859,0.10022570233158386,0.5983223797862636,0.243513459722888,0.03849546434985629,-1.097671072109749,
Auction_ZScore_CF_2,k=50,ok,60640,21795,0.54098854447923,0.2492900577351753,0.04751427072904888,-0.126252802377173,0.5338506955829574,0.2496624232135599,0.04671801337173709,-0.0975920775378828,0.4892620392883076,0.25010987757901076,0.04586763014017059,-0.171429484647758,
Auction_ZScore_CF_2,k=100,ok,72544,26361,0.5244273285716876,0.25017032041669124,0.05790933867206437,-0.04653856572523138,0.5266418306415324,0.25014081998117504,0.05785380990479916,-0.050434406779150134,0.5232396589096313,0.2504522806913148,0.05715922792351521,0.01714309758458891,
Auction_ZScore_CF_3,k=10,ok,41774,14880,0.6044290011722895,0.2422618719471505,0.01989586704154455,-0.4936693446306008,0.5155602370449854,0.2500784216657553,0.008812461321628886,-0.00021418106815001593,0.6918428935265368,0.22640641336159192,0.021010287288756722,-2.730713306635542,
Auction_ZScore_CF_3,k=20,ok,56809,20285,0.4931651912153871,0.2502091221457633,0.006596961406262569,0.043769127332243224,0.5512585695569723,0.24863712016356357,0.0021804861411958655,0.35948433696366183,0.6205771838419069,0.23885802727986166,0.015516670208988895,-1.797969540617504,
Auction_ZScore_CF_3,k=30,ok,68163,24285,0.5330394045991949,0.24943323378206636,0.01562689343465553,-0.11317296105158565,0.5015646822462713,0.25030591641104044,0.011845076054428687,0.08547213527622005,0.5769837176632902,0.2460160577591604,0.018116832273584724,-1.1535302984285976,
